Qubits,name,Layers,num_params,KL divergence
1,hr,1,3,0.0419420400
1,ru,1,3,0.0458497055
1,ruu,1,6,0.0347669487
1,rx,1,1,0.2492444915
1,ry,1,1,0.2333616579
1,rz,1,1,4.3174881135
2,alpha,1,4,0.0745364489
2,beta,1,18,0.0274731993
2,gamma,1,4,0.4839398215
2,phi,1,4,0.0856271258
2,theta,1,12,0.0980162292
3,0_zero,1,3,0.4981166580
3,1_mochi,1,3,0.6412696633
3,2_yadi,1,9,0.1687245145
3,3_tatu,1,9,0.2008751158
3,4_wana,1,12,0.0540037526
3,5_tano,1,27,0.0328129856
3,6_samanu,1,18,30.2224167948
3,7_sambwadi,1,6,0.2095923733
3,8_nake,1,18,0.0400445586
3,9_divwe,1,27,0.0230203763
4,A,1,12,0.2575712144
4,B,1,16,0.3522852129
4,C,1,16,0.1530295056
4,D,1,16,0.0265031064
4,E,1,12,0.4515107513
4,F,1,8,0.5493598110
4,G,1,24,0.0197884992
4,H,1,12,0.3307383518
4,I,1,12,0.0409882108
4,J,1,8,0.0890931241
4,K,1,16,0.0442825560
4,L,1,12,0.2396319257
4,M,1,20,0.0120293506
4,N,1,44,0.0557419326
4,O,1,42,0.0136339209